AAPL
MSFT
AMZN
GOOG
FB
TSLA
GOOGL
NVDA
PYPL
ADBE
NFLX
CMCSA
CSCO
INTC
PEP
AVGO
COST
TXN
MRNA
TMUS
QCOM
INTU
HON
CHTR
SBUX
AMD
AMAT
AMGN
ISRG
BKNG
MELI
GILD
LRCX
ADP
MDLZ
MU
FISV
ASML
CSX
REGN
ZM
ILMN
ADI
JD
ADSK
ATVI
NXPI
IDXX
ALGN
KLAC
TEAM
LULU
DXCM
DOCU
CRWD
MRVL
WDAY
SNPS
MNST
KDP
EXC
VRTX
EBAY
MAR
CDNS
BIIB
KHC
MCHP
AEP
MTCH
WBA
CTAS
EA
BIDU
ORLY
ROST
CTSH
PAYX
PDD
XLNX
XEL
CPRT
VRSK
ANSS
OKTA
FAST
SWKS
PTON
PCAR
SGEN
CDW
NTES
VRSN
SIRI
SPLK
CERN
DLTR
INCY
CHKP
TCOM
FOXA
FOX
